date,diamond price,inflation rate,interest rate,fed rate,gold price
2021-06-04,10385.16,2.4,-0.84,0.06,1890.97
2021-06-03,10385.16,2.42,-0.79,0.06,1871.36
2021-06-02,10378.43,2.44,-0.85,0.06,1907.75
2021-06-01,10376.1,2.46,-0.84,0.06,1900.49
2021-05-31,10368.67,2.46,-0.84,0.05,1905.74
2021-05-30,10365.69,2.46,-0.84,0.05,1909.29
2021-05-29,10367.29,2.46,-0.84,0.05,1909.29
2021-05-28,10359.25,2.42,-0.84,0.05,1909.49
2021-05-27,10349.93,2.42,-0.81,0.06,1896.79
2021-05-26,10344.62,2.4,-0.82,0.06,1896.74
2021-05-25,10341.16,2.42,-0.86,0.06,1899.14
2021-05-24,10333.48,2.44,-0.83,0.06,1880.24
2021-05-23,10331.22,2.44,-0.83,0.06,1881.3
2021-05-22,10337.47,2.44,-0.83,0.06,1881.3
2021-05-21,10331.26,2.43,-0.8,0.06,1881.3
2021-05-20,10329.37,2.41,-0.78,0.06,1876.84
2021-05-19,10326.66,2.48,-0.8,0.06,1869.59
2021-05-18,10324.2,2.52,-0.88,0.06,1869.89
2021-05-17,10322.89,2.54,-0.9,0.06,1865.79
2021-05-16,10318.45,2.54,-0.9,0.06,1865.79
2021-05-15,10315.46,2.54,-0.9,0.06,1865.79
2021-05-14,10314.04,2.51,-0.88,0.06,1843.19
2021-05-13,10308.93,2.51,-0.85,0.06,1827.01
2021-05-12,10305.53,2.54,-0.85,0.06,1816.49
2021-05-11,10304.55,2.53,-0.89,0.06,1837.39
2021-05-10,10297.42,2.54,-0.91,0.06,1835.94
2021-05-09,10298.41,2.54,-0.91,0.06,1840.69
2021-05-08,10299.44,2.54,-0.91,0.06,1840.69
2021-05-07,10292.55,2.49,-0.89,0.06,1830.86
2021-05-06,10282.05,2.45,-0.87,0.06,1815.57
2021-05-05,10281.39,2.47,-0.88,0.06,1785.65
2021-05-04,10276.45,2.42,-0.81,0.06,1779.04
2021-05-03,10277.58,2.42,-0.79,0.06,1792.32
2021-05-02,10271.92,2.42,-0.79,0.05,1787.05
2021-05-01,10266.48,2.42,-0.79,0.05,1807.4
2021-04-30,10259.99,2.41,-0.76,0.05,1768.95
2021-04-29,10250.67,2.42,-0.77,0.06,1770.8
2021-04-28,10244.09,2.41,-0.78,0.07,1780.92
2021-04-27,10241.67,2.39,-0.76,0.07,1776.5
2021-04-26,10237.52,2.36,-0.78,0.07,1780.44
2021-04-25,10229.39,2.36,-0.78,0.07,1780.44
2021-04-24,10228.12,2.36,-0.78,0.07,1780.44
2021-04-23,10226.91,2.34,-0.76,0.07,1778.18
2021-04-22,10226.87,2.33,-0.76,0.07,1784.25
2021-04-21,10220.96,2.33,-0.76,0.07,1793.9
2021-04-20,10219.47,2.32,-0.74,0.07,1778.0
2021-04-19,10211.07,2.34,-0.73,0.07,1770.31
2021-04-18,10207.65,2.34,-0.73,0.07,1779.5
2021-04-17,10203.66,2.34,-0.73,0.07,1782.5
2021-04-16,10202.06,2.36,-0.77,0.07,1782.5
2021-04-15,10199.11,2.33,-0.77,0.07,1763.6
2021-04-14,10193.51,2.33,-0.69,0.07,1737.1
2021-04-13,10193.1,2.33,-0.69,0.07,1744.3
2021-04-12,10182.95,2.33,-0.64,0.07,1733.4
2021-04-11,10175.64,2.33,-0.64,0.07,1744.1
2021-04-10,10175.67,2.33,-0.64,0.07,1744.1
2021-04-09,10172.99,2.31,-0.64,0.07,1744.1
2021-04-08,10170.01,2.33,-0.69,0.07,1756.38
2021-04-07,10167.26,2.34,-0.66,0.07,1737.65
2021-04-06,10164.47,2.32,-0.65,0.07,1744.15
2021-04-05,10161.57,2.35,-0.62,0.07,1728.1
2021-04-04,10162.35,2.35,-0.62,0.07,1729.8
2021-04-03,10156.21,2.35,-0.62,0.07,1729.8
2021-04-02,10153.34,2.36,-0.64,0.07,1729.8
2021-04-01,10155.28,2.35,-0.66,0.07,1729.8
2021-03-31,10152.17,2.37,-0.63,0.06,1707.2
2021-03-30,10152.62,2.35,-0.62,0.07,1685.25
2021-03-29,10159.18,2.36,-0.63,0.07,1712.3
2021-03-28,10153.67,2.36,-0.63,0.07,1720.5
2021-03-27,10150.17,2.36,-0.63,0.07,1720.5
2021-03-26,10146.98,2.34,-0.67,0.07,1731.93
2021-03-25,10147.22,2.32,-0.69,0.07,1727.6
2021-03-24,10141.22,2.31,-0.69,0.07,1734.2
2021-03-23,10138.39,2.29,-0.66,0.07,1727.5
2021-03-22,10135.19,2.33,-0.64,0.07,1739.55
2021-03-21,10131.97,2.33,-0.64,0.07,1739.9
2021-03-20,10127.09,2.33,-0.64,0.07,1749.6
2021-03-19,10123.84,2.31,-0.57,0.07,1749.6
2021-03-18,10118.14,2.27,-0.56,0.07,1736.6
2021-03-17,10116.9,2.3,-0.67,0.07,1747.71
2021-03-16,10112.05,2.3,-0.68,0.07,1732.1
2021-03-15,10105.56,2.27,-0.65,0.07,1731.2
2021-03-14,10100.82,2.27,-0.65,0.07,1726.85
2021-03-13,10097.9,2.27,-0.65,0.07,1726.85
2021-03-12,10098.87,2.26,-0.62,0.07,1726.85
2021-03-11,10091.85,2.28,-0.74,0.07,1722.77
2021-03-10,10076.72,2.26,-0.73,0.07,1726.65
2021-03-09,10071.02,2.21,-0.66,0.07,1715.9
2021-03-08,10071.24,2.21,-0.62,0.07,1684.55
2021-03-07,10070.32,2.21,-0.62,0.07,1700.8
2021-03-06,10070.34,2.21,-0.62,0.07,1700.8
2021-03-05,10074.11,2.22,-0.66,0.07,1700.8
2021-03-04,10067.02,2.2,-0.66,0.07,1698.39
2021-03-03,10065.01,2.21,-0.74,0.07,1709.86
2021-03-02,10065.4,2.2,-0.78,0.07,1738.1
2021-03-01,10064.65,2.16,-0.71,0.07,1724.7
2021-02-28,10065.89,2.16,-0.71,0.07,1734.4
2021-02-27,10064.5,2.16,-0.71,0.07,1734.4
2021-02-26,10060.14,2.15,-0.71,0.07,1734.4
2021-02-25,10052.9,2.14,-0.6,0.07,1769.9
2021-02-24,10044.2,2.17,-0.79,0.07,1805.0
2021-02-23,10046.2,2.16,-0.79,0.07,1805.6
2021-02-22,10043.36,2.16,-0.79,0.07,1809.95
2021-02-21,10034.65,2.16,-0.79,0.07,1794.4
2021-02-20,10031.81,2.16,-0.79,0.07,1794.4
2021-02-19,10033.78,2.14,-0.8,0.07,1784.05
2021-02-18,10037.39,2.16,-0.87,0.07,1775.7
2021-02-17,10035.86,2.21,-0.92,0.08,1776.35
2021-02-16,10030.11,2.24,-0.94,0.08,1794.95
2021-02-15,10024.47,2.24,-0.94,0.08,1818.85
2021-02-14,10014.51,2.24,-0.94,0.08,1822.43
2021-02-13,10013.64,2.24,-0.94,0.08,1822.43
2021-02-12,10012.5,2.21,-1.01,0.08,1822.43
2021-02-11,10006.63,2.2,-1.04,0.08,1826.5
2021-02-10,10003.54,2.21,-1.06,0.08,1843.4
2021-02-09,9994.95,2.22,-1.04,0.08,1838.95
2021-02-08,9989.18,2.22,-1.03,0.07,1831.26
2021-02-07,9978.76,2.22,-1.03,0.08,1810.8
2021-02-06,9974.91,2.22,-1.03,0.08,1810.8
2021-02-05,9967.93,2.21,-1.02,0.08,1810.8
2021-02-04,9962.4,2.17,-1.02,0.08,1794.0
2021-02-03,9955.06,2.19,-1.04,0.08,1833.85
2021-02-02,9952.17,2.15,-1.03,0.08,1837.9
2021-02-01,9950.1,2.11,-1.02,0.08,1860.0
2021-01-31,9942.39,2.11,-1.02,0.07,1874.0
2021-01-30,9935.34,2.11,-1.02,0.07,1874.0
2021-01-29,9931.86,2.13,-1.02,0.07,1847.76
2021-01-28,9928.98,2.13,-1.06,0.07,1842.9
2021-01-27,9926.88,2.08,-1.04,0.08,1844.91
2021-01-26,9922.93,2.08,-1.03,0.08,1850.8
2021-01-25,9919.07,2.08,-1.03,0.08,1855.9
2021-01-24,9914.68,2.08,-1.03,0.08,1852.75
2021-01-23,9915.5,2.08,-1.03,0.08,1852.75
2021-01-22,9911.89,2.09,-0.99,0.08,1855.9
2021-01-21,9909.56,2.1,-0.98,0.08,1869.65
2021-01-20,9904.69,2.12,-1.02,0.09,1870.53
2021-01-19,9900.91,2.1,-1.0,0.09,1840.3
2021-01-18,9893.67,2.1,-1.0,0.09,1836.9
2021-01-17,9894.55,2.1,-1.0,0.09,1827.5
2021-01-16,9892.7,2.1,-1.0,0.09,1827.5
2021-01-15,9888.39,2.1,-0.99,0.09,1828.45
2021-01-14,9884.31,2.09,-0.94,0.09,1846.1
2021-01-13,9876.1,2.06,-0.96,0.09,1845.37
2021-01-12,9868.29,2.08,-0.93,0.09,1855.0
2021-01-11,9862.71,2.06,-0.91,0.09,1842.51
2021-01-10,9855.28,2.06,-0.91,0.09,1848.88
2021-01-09,9851.34,2.06,-0.91,0.09,1848.88
2021-01-08,9841.72,2.06,-0.93,0.09,1848.88
2021-01-07,9836.43,2.09,-1.01,0.09,1913.05
2021-01-06,9836.43,2.06,-1.02,0.09,1919.05
2021-01-05,9829.49,2.03,-1.07,0.09,1949.48
2021-01-04,9814.61,2.01,-1.08,0.09,1942.14
2021-01-03,9817.44,2.01,-1.08,0.09,1898.66
2021-01-02,9813.46,2.01,-1.08,0.09,1898.66
2021-01-01,9813.69,2.01,-1.08,0.09,1898.66
2020-12-31,9812.21,1.99,-1.06,0.09,1897.7
2020-12-30,9812.21,1.96,-1.03,0.09,1894.7
2020-12-29,9813.69,1.96,-1.02,0.09,1877.89
2020-12-28,9802.3,1.97,-1.03,0.09,1873.45
2020-12-27,9802.94,1.97,-1.03,0.09,1908.7
2020-12-26,9802.6,1.97,-1.03,0.09,1908.7
2020-12-25,9801.17,1.97,-1.03,0.09,1908.7
2020-12-24,9799.22,1.97,-1.03,0.09,1857.2
2020-12-23,9800.97,1.97,-1.01,0.09,1872.33
2020-12-22,9802.71,1.94,-1.01,0.09,1860.99
2020-12-21,9801.41,1.95,-1.0,0.09,1877.05
2020-12-20,9799.26,1.95,-1.0,0.09,1867.47
2020-12-19,9797.04,1.95,-1.0,0.09,1867.47
2020-12-18,9788.17,1.95,-1.0,0.09,1882.43
2020-12-17,9783.73,1.94,-1.0,0.09,1885.65
2020-12-16,9783.31,1.92,-1.0,0.09,1865.35
2020-12-15,9787.98,1.91,-0.99,0.09,1853.5
2020-12-14,9790.6,1.88,-0.98,0.09,1828.0
2020-12-13,9789.82,1.88,-0.98,0.09,1828.0
2020-12-12,9788.01,1.88,-0.98,0.09,1828.0
2020-12-11,9789.49,1.87,-0.97,0.09,1838.53
2020-12-10,9792.15,1.88,-0.96,0.09,1836.4
2020-12-09,9794.1,1.91,-0.96,0.09,1839.8
2020-12-08,9795.49,1.89,-0.97,0.09,1869.5
2020-12-07,9794.39,1.88,-0.94,0.09,1861.4
2020-12-06,9789.05,1.88,-0.94,0.09,1861.4
2020-12-05,9786.78,1.88,-0.94,0.09,1861.4
2020-12-04,9784.07,1.89,-0.92,0.09,1839.54
2020-12-03,9782.11,1.86,-0.94,0.09,1841.5
2020-12-02,9771.59,1.85,-0.9,0.09,1831.05
2020-12-01,9773.41,1.81,-0.89,0.09,1814.8
2020-11-30,9774.99,1.77,-0.93,0.09,1777.1
2020-11-29,9770.82,1.77,-0.93,0.08,1789.8
2020-11-28,9767.2,1.77,-0.93,0.08,1789.8
2020-11-27,9759.0,1.75,-0.91,0.08,1788.5
2020-11-26,9751.21,1.75,-0.91,0.08,1811.38
2020-11-25,9751.4,1.75,-0.87,0.08,1807.6
2020-11-24,9757.11,1.74,-0.86,0.08,1807.41
2020-11-23,9758.71,1.71,-0.85,0.08,1838.33
2020-11-22,9757.19,1.71,-0.85,0.08,1870.14
2020-11-21,9751.49,1.71,-0.85,0.08,1870.14
2020-11-20,9753.91,1.69,-0.86,0.08,1870.14
2020-11-19,9751.6,1.7,-0.84,0.08,1867.05
2020-11-18,9746.67,1.7,-0.82,0.09,1873.3
2020-11-17,9747.36,1.7,-0.83,0.09,1879.1
2020-11-16,9749.29,1.72,-0.81,0.09,1888.53
2020-11-15,9740.07,1.72,-0.81,0.09,1888.53
2020-11-14,9737.25,1.72,-0.81,0.09,1888.53
2020-11-13,9734.21,1.72,-0.83,0.09,1890.41
2020-11-12,9730.68,1.71,-0.83,0.09,1878.0
2020-11-11,9732.91,1.71,-0.83,0.09,1865.98
2020-11-10,9735.15,1.76,-0.78,0.09,1877.79
2020-11-09,9725.84,1.73,-0.77,0.09,1861.68
2020-11-08,9721.35,1.73,-0.77,0.09,1958.2
2020-11-07,9721.33,1.73,-0.77,0.09,1958.2
2020-11-06,9713.3,1.65,-0.82,0.09,1951.25
2020-11-05,9713.1,1.66,-0.87,0.09,1949.35
2020-11-04,9708.27,1.64,-0.86,0.09,1904.25
2020-11-03,9704.72,1.72,-0.82,0.09,1909.32
2020-11-02,9698.62,1.71,-0.84,0.09,1894.45
2020-11-01,9698.96,1.71,-0.84,0.09,1878.95
2020-10-31,9689.93,1.71,-0.84,0.09,1878.95
2020-10-30,9686.21,1.7,-0.82,0.09,1878.95
2020-10-29,9683.27,1.71,-0.86,0.09,1866.65
2020-10-28,9674.14,1.7,-0.91,0.09,1878.2
2020-10-27,9667.15,1.71,-0.92,0.09,1904.8
2020-10-26,9662.75,1.72,-0.91,0.09,1902.6
2020-10-25,9658.87,1.72,-0.91,0.09,1896.65
2020-10-24,9655.51,1.72,-0.91,0.09,1896.65
2020-10-23,9649.06,1.75,-0.9,0.09,1901.55
2020-10-22,9643.34,1.76,-0.89,0.09,1904.15
2020-10-21,9637.96,1.74,-0.91,0.09,1924.6
2020-10-20,9637.25,1.72,-0.91,0.09,1906.65
2020-10-19,9633.21,1.71,-0.93,0.09,1904.33
2020-10-18,9629.62,1.71,-0.93,0.09,1899.4
2020-10-17,9621.39,1.71,-0.93,0.09,1899.4
2020-10-16,9618.52,1.71,-0.95,0.09,1899.4
2020-10-15,9610.9,1.69,-0.95,0.09,1908.1
2020-10-14,9605.16,1.69,-0.96,0.09,1900.33
2020-10-13,9594.79,1.7,-0.96,0.09,1890.35
2020-10-12,9579.25,1.7,-0.96,0.09,1922.94
2020-10-11,9563.9,1.7,-0.96,0.09,1930.43
2020-10-10,9558.07,1.7,-0.96,0.09,1930.43
2020-10-09,9551.08,1.73,-0.94,0.09,1930.43
2020-10-08,9547.61,1.72,-0.94,0.09,1893.95
2020-10-07,9545.14,1.71,-0.9,0.09,1887.3
2020-10-06,9539.48,1.66,-0.9,0.09,1878.3
2020-10-05,9534.51,1.68,-0.9,0.09,1913.45
2020-10-04,9528.85,1.68,-0.9,0.09,1899.7
2020-10-03,9523.73,1.68,-0.9,0.09,1899.7
2020-10-02,9517.39,1.64,-0.94,0.09,1899.7
2020-10-01,9516.35,1.63,-0.95,0.09,1906.0
2020-09-30,9512.68,1.63,-0.94,0.09,1885.95
2020-09-29,9513.91,1.64,-0.98,0.09,1897.81
2020-09-28,9509.9,1.61,-0.94,0.09,1880.98
2020-09-27,9505.65,1.61,-0.94,0.09,1855.5
2020-09-26,9499.42,1.61,-0.94,0.09,1861.05
2020-09-25,9491.32,1.58,-0.92,0.09,1861.05
2020-09-24,9491.85,1.58,-0.91,0.09,1868.69
2020-09-23,9487.61,1.6,-0.92,0.09,1863.4
2020-09-22,9487.04,1.62,-0.94,0.09,1900.2
2020-09-21,9480.65,1.62,-0.94,0.09,1912.35
2020-09-20,9475.6,1.62,-0.94,0.09,1962.0
2020-09-19,9476.93,1.62,-0.94,0.09,1962.0
2020-09-18,9472.45,1.67,-0.97,0.09,1951.33
2020-09-17,9467.78,1.66,-0.97,0.09,1944.98
2020-09-16,9461.64,1.68,-0.99,0.09,1959.75
2020-09-15,9458.68,1.67,-0.99,0.09,1953.88
2020-09-14,9458.68,1.65,-0.97,0.09,1956.7
2020-09-13,9451.8,1.65,-0.97,0.09,1940.4
2020-09-12,9445.02,1.65,-0.97,0.09,1940.4
2020-09-11,9440.84,1.65,-0.98,0.09,1940.4
2020-09-10,9435.34,1.69,-1.01,0.09,1946.35
2020-09-09,9434.94,1.71,-1.0,0.09,1946.5
2020-09-08,9432.4,1.68,-0.99,0.09,1931.35
2020-09-07,9429.71,1.68,-0.99,0.09,1928.55
2020-09-06,9426.01,1.68,-0.99,0.09,1933.83
2020-09-05,9419.89,1.68,-0.99,0.09,1933.83
2020-09-04,9413.23,1.7,-0.98,0.09,1933.83
2020-09-03,9405.68,1.65,-1.02,0.09,1930.3
2020-09-02,9404.5,1.73,-1.07,0.09,1942.89
2020-09-01,9397.97,1.76,-1.08,0.09,1970.45
2020-08-31,9384.52,1.8,-1.08,0.09,1967.9
2020-08-30,9382.03,1.8,-1.08,0.09,1967.9
2020-08-29,9377.2,1.8,-1.08,0.09,1964.95
2020-08-28,9375.27,1.77,-1.03,0.09,1964.95
2020-08-27,9373.87,1.73,-0.99,0.08,1929.5
2020-08-26,9360.87,1.72,-1.03,0.09,1953.3
2020-08-25,9359.46,1.7,-1.01,0.09,1928.4
2020-08-24,9343.66,1.67,-1.02,0.09,1927.98
2020-08-23,9335.4,1.67,-1.02,0.09,1947.5
2020-08-22,9330.36,1.67,-1.02,0.09,1947.5
2020-08-21,9325.0,1.64,-1.0,0.09,1940.23
2020-08-20,9327.32,1.62,-0.97,0.09,1947.05
2020-08-19,9324.84,1.67,-0.99,0.09,1930.48
2020-08-18,9319.27,1.68,-1.01,0.09,2000.62
2020-08-17,9315.09,1.66,-0.97,0.1,1985.07
2020-08-16,9308.92,1.66,-0.97,0.1,1947.04
2020-08-15,9304.38,1.66,-0.97,0.1,1945.35
2020-08-14,9301.33,1.65,-0.94,0.1,1945.35
2020-08-13,9300.89,1.67,-0.96,0.1,1954.03
2020-08-12,9303.0,1.67,-0.98,0.1,1914.39
2020-08-11,9303.65,1.63,-0.99,0.1,1912.43
2020-08-10,9302.18,1.61,-1.02,0.1,2027.08
2020-08-09,9293.22,1.61,-1.02,0.1,2035.99
2020-08-08,9291.25,1.61,-1.02,0.1,2035.99
2020-08-07,9284.0,1.61,-1.04,0.1,2035.99
2020-08-06,9276.63,1.63,-1.08,0.1,2063.68
2020-08-05,9277.91,1.61,-1.06,0.1,2038.15
2020-08-04,9274.48,1.57,-1.05,0.1,2018.51
2020-08-03,9281.65,1.58,-1.02,0.1,1976.35
2020-08-02,9281.65,1.58,-1.02,0.1,1975.9
2020-08-01,9295.29,1.58,-1.02,0.1,1975.9
2020-07-31,9288.29,1.55,-1.0,0.1,1975.9
2020-07-30,9281.7,1.52,-0.97,0.1,1956.05
2020-07-29,9273.06,1.53,-0.95,0.1,1970.92
2020-07-28,9275.95,1.51,-0.92,0.1,1959.6
2020-07-27,9279.32,1.52,-0.9,0.1,1942.55
2020-07-26,9277.92,1.52,-0.9,0.09,1901.65
2020-07-25,9279.18,1.52,-0.9,0.09,1901.65
2020-07-24,9277.22,1.51,-0.92,0.09,1901.65
2020-07-23,9284.4,1.49,-0.9,0.09,1887.3
2020-07-22,9283.82,1.48,-0.88,0.09,1872.53
2020-07-21,9285.01,1.48,-0.87,0.1,1841.9
2020-07-20,9273.46,1.46,-0.84,0.1,1817.73
2020-07-19,9275.28,1.46,-0.84,0.09,1809.9
2020-07-18,9278.93,1.46,-0.84,0.09,1809.9
2020-07-17,9276.79,1.46,-0.82,0.09,1809.9
2020-07-16,9281.02,1.41,-0.79,0.1,1797.89
2020-07-15,9281.84,1.41,-0.77,0.1,1809.09
2020-07-14,9283.89,1.41,-0.78,0.09,1808.6
2020-07-13,9279.4,1.42,-0.78,0.09,1802.5
2020-07-12,9274.87,1.42,-0.78,0.09,1799.3
2020-07-11,9272.28,1.42,-0.78,0.09,1799.3
2020-07-10,9277.67,1.41,-0.76,0.09,1799.3
2020-07-09,9277.43,1.39,-0.77,0.09,1803.5
2020-07-08,9278.53,1.42,-0.75,0.09,1809.15
2020-07-07,9282.06,1.43,-0.78,0.09,1793.25
2020-07-06,9283.84,1.45,-0.76,0.09,1784.5
2020-07-05,9278.39,1.45,-0.76,0.09,1784.5
2020-07-04,9276.46,1.45,-0.76,0.09,1784.5
2020-07-03,9283.35,1.45,-0.76,0.09,1774.91
2020-07-02,9281.9,1.41,-0.73,0.09,1773.03
2020-07-01,9287.89,1.37,-0.68,0.08,1769.99
2020-06-30,9296.15,1.34,-0.68,0.08,1779.55
2020-06-29,9303.69,1.34,-0.7,0.08,1770.4
2020-06-28,9308.3,1.34,-0.7,0.08,1771.05
2020-06-27,9307.32,1.34,-0.7,0.08,1771.05
2020-06-26,9308.38,1.32,-0.68,0.08,1771.05
2020-06-25,9311.19,1.33,-0.65,0.08,1762.14
2020-06-24,9319.21,1.33,-0.64,0.08,1762.6
2020-06-23,9327.81,1.38,-0.66,0.08,1769.1
2020-06-22,9332.95,1.34,-0.63,0.08,1754.7
2020-06-21,9333.95,1.34,-0.63,0.09,1743.95
2020-06-20,9337.08,1.34,-0.63,0.09,1743.95
2020-06-19,9332.38,1.3,-0.6,0.09,1743.95
2020-06-18,9331.32,1.28,-0.57,0.09,1721.95
2020-06-17,9337.31,1.26,-0.52,0.09,1726.63
2020-06-16,9341.82,1.27,-0.52,0.09,1728.57
2020-06-15,9341.68,1.23,-0.52,0.09,1725.75
2020-06-14,9344.27,1.23,-0.52,0.08,1730.8
2020-06-13,9344.26,1.23,-0.52,0.08,1730.8
2020-06-12,9340.76,1.21,-0.5,0.08,1730.8
2020-06-11,9347.43,1.21,-0.55,0.08,1726.3
2020-06-10,9370.58,1.27,-0.52,0.08,1737.07
2020-06-09,9370.45,1.26,-0.42,0.07,1714.5
2020-06-08,9372.33,1.28,-0.4,0.07,1698.51
2020-06-07,9370.03,1.28,-0.4,0.07,1683.65
2020-06-06,9375.01,1.28,-0.4,0.07,1683.65
2020-06-05,9388.86,1.27,-0.36,0.07,1683.65
2020-06-04,9380.21,1.22,-0.4,0.06,1713.39
2020-06-03,9368.34,1.21,-0.44,0.06,1698.1
2020-06-02,9375.56,1.18,-0.5,0.06,1727.99
2020-06-01,9376.03,1.18,-0.52,0.05,1739.98
2020-05-31,9386.6,1.18,-0.52,0.05,1739.98
2020-05-30,9412.18,1.18,-0.52,0.05,1730.35
2020-05-29,9411.74,1.15,-0.5,0.05,1730.35
2020-05-28,9405.87,1.18,-0.48,0.05,1720.05
2020-05-27,9408.61,1.14,-0.46,0.05,1708.8
2020-05-26,9405.21,1.13,-0.44,0.05,1711.78
2020-05-25,9405.4,1.13,-0.44,0.05,1729.13
